Wall time,Step,Value
1710510833.708754,0,0.07362283766269684
1710510869.4694285,1,0.07311666756868362
1710510905.193349,2,0.07206165045499802
1710510940.9093995,3,0.07209435105323792
1710510976.6329777,4,0.07185184955596924
1710511012.2471275,5,0.07037867605686188
1710511047.413554,6,0.06997199356555939
1710511082.7124894,7,0.07073122262954712
1710511118.0544193,8,0.07037685066461563
1710511153.4700587,9,0.0699240043759346
1710511188.8338923,10,0.0684523731470108
1710511224.2985544,11,0.06945788115262985
1710511259.5769424,12,0.06878296285867691
1710511295.049728,13,0.06842140108346939
1710511330.7417467,14,0.06772056221961975
1710511366.535667,15,0.06847281008958817
1710511402.2036812,16,0.06825369596481323
1710511437.9964318,17,0.06814809143543243
1710511473.7026384,18,0.06744801998138428
1710511509.3868675,19,0.06741061806678772
1710511544.7943556,20,0.06673915684223175
1710511579.9784007,21,0.0681210532784462
1710511615.155812,22,0.06707363575696945
1710511650.2948856,23,0.06701447814702988
1710511685.3966677,24,0.06692495197057724
1710511720.7863135,25,0.06653587520122528
1710511756.390027,26,0.06682619452476501
1710511792.0812788,27,0.06676112115383148
1710511827.8089113,28,0.06717431545257568
1710511863.3398,29,0.06671857833862305
1710511899.066013,30,0.06728116422891617
1710511934.7332413,31,0.06691794097423553
1710511969.906378,32,0.06761045008897781
1710512005.089128,33,0.06859531253576279
1710512040.4801433,34,0.06791537255048752
1710512076.1085117,35,0.06824733316898346
1710512111.5945504,36,0.0682537853717804
1710512147.1763444,37,0.06820183247327805
1710512182.6953688,38,0.06898359954357147
1710512218.241365,39,0.0691513642668724
1710512253.7935343,40,0.06905066221952438
1710512288.998623,41,0.06910876929759979
1710512324.226026,42,0.06908190250396729
1710512359.5307715,43,0.07031287252902985
1710512394.7335405,44,0.07030288130044937
1710512430.0029912,45,0.07089213281869888
1710512465.317298,46,0.07142004370689392
1710512500.4882963,47,0.07188877463340759
1710512535.629838,48,0.07309895008802414
1710512570.9011736,49,0.07258081436157227
1710512606.45206,50,0.07380388677120209
1710512642.1718776,51,0.07327047735452652
1710512677.9703355,52,0.07486291974782944
1710512713.5589468,53,0.07622116804122925
1710512749.314062,54,0.07754303514957428
1710512784.93442,55,0.07865098863840103
1710512820.5689049,56,0.07916489243507385
1710512855.9697104,57,0.0804850310087204
1710512891.6898956,58,0.08309867233037949
1710512927.4146056,59,0.08575348556041718
1710512963.0844607,60,0.0876779556274414
1710512998.783711,61,0.08675118535757065
1710513034.414568,62,0.08620763570070267
1710513070.1258545,63,0.08620654791593552
1710513105.4733589,64,0.0850832536816597
1710513141.217918,65,0.08377325534820557
1710513177.05038,66,0.08387336879968643
1710513212.8149054,67,0.0830298438668251
1710513248.5412805,68,0.08366533368825912
1710513284.287837,69,0.08278053253889084
