Wall time,Step,Value
1710510942.1848636,0,0.07974771410226822
1710511085.702562,1,0.20333953201770782
1710511228.5632489,2,0.18857914209365845
1710511371.4182749,3,0.1757277101278305
1710511514.4113498,4,0.1667027324438095
1710511657.209286,5,0.16011716425418854
1710511800.119296,6,0.15301592648029327
1710511943.074682,7,0.1511436551809311
1710512086.0578,8,0.14736707508563995
1710512229.0904288,9,0.14264389872550964
1710512371.8679454,10,0.14308631420135498
1710512514.6075585,11,0.1407029777765274
1710512657.3786962,12,0.13769599795341492
1710512800.097619,13,0.13754688203334808
1710512942.8169587,14,0.1342664211988449
1710513085.3840988,15,0.13455830514431
1710513227.995592,16,0.13307379186153412
1710513370.6933136,17,0.1316658854484558
1710513513.3168259,18,0.13154977560043335
1710513655.9287362,19,0.13029304146766663
1710513798.5033839,20,0.12930119037628174
1710513941.1114285,21,0.1290910243988037
1710514083.6584451,22,0.12820488214492798
1710514226.1568694,23,0.12821859121322632
1710514368.7336955,24,0.12921375036239624
1710514511.3113,25,0.12769609689712524
1710514653.836347,26,0.12703146040439606
1710514796.3923478,27,0.1257399171590805
1710514938.869437,28,0.12515220046043396
1710515081.6619835,29,0.12515369057655334
1710515224.355422,30,0.12376495450735092
1710515367.1909316,31,0.12478577345609665
1710515509.939252,32,0.12437805533409119
1710515652.6822412,33,0.1243581548333168
1710515795.3849645,34,0.1233900636434555
1710515938.3178122,35,0.1231902614235878
1710516081.552187,36,0.12284614890813828
1710516224.7185278,37,0.1223781555891037
1710516367.8871925,38,0.12222868949174881
1710516511.0352013,39,0.12143197655677795
1710516654.2273893,40,0.12149009853601456
1710516797.3471224,41,0.12184702605009079
1710516940.4762647,42,0.12119659036397934
1710517083.6228747,43,0.12118026614189148
1710517226.8921206,44,0.1209159791469574
1710517370.1043425,45,0.11990674585103989
1710517513.2283852,46,0.12072820961475372
1710517656.4378,47,0.12100879102945328
1710517799.6135643,48,0.11961577087640762
1710517942.6814377,49,0.1207529678940773
1710518085.8326423,50,0.11885328590869904
1710518228.9453452,51,0.11846235394477844
1710518372.0275297,52,0.11887498199939728
1710518514.9852576,53,0.11897411942481995
1710518657.910283,54,0.11889403313398361
1710518800.805099,55,0.11765748262405396
1710518942.7405849,56,0.11795216053724289
1710519084.8498855,57,0.11894632875919342
1710519226.982093,58,0.11869825422763824
1710519368.8939161,59,0.11755450814962387
1710519510.618309,60,0.11848190426826477
1710519652.5424433,61,0.11783777177333832
1710519794.3417914,62,0.11807644367218018
1710519935.897306,63,0.11647403240203857
1710520077.2634373,64,0.1175350770354271
1710520218.5826943,65,0.11613011360168457
1710520359.8834436,66,0.11744050681591034
1710520501.1982594,67,0.11686057597398758
1710520642.587357,68,0.1166335716843605
1710520783.850832,69,0.11617051064968109
