Step,Wall time,Value
0,1716280325.4955072,0.0944618135690689
1,1716280553.7484865,0.08533332124352455
2,1716280782.0014656,0.0762048289179802
3,1716281010.220152,0.07989120110869405
4,1716281238.4388385,0.0835775732994079
5,1716281466.2984564,0.07937932014465325
6,1716281694.1580744,0.0751810669898986
7,1716281921.9894495,0.078006874769926
8,1716282149.8208249,0.0808326825499534
9,1716282377.5814793,0.07971894592046733
10,1716282605.3421338,0.07860520929098125
11,1716282833.1027882,0.07749147266149516
12,1716283060.8634427,0.07637773603200908
13,1716283288.624097,0.075263999402523
14,1716283515.6771266,0.07482209801673885
15,1716283742.7301564,0.0743801966309547
16,1716283969.783186,0.07393829524517055
17,1716284196.8362155,0.0734963938593864
18,1716284423.892451,0.0667455121874809
19,1716284650.955339,0.0724484249949455
20,1716284877.8958988,0.0652081444859504
21,1716285104.8230681,0.06677531450986855
22,1716285331.7502377,0.0683424845337867
23,1716285558.6473472,0.0596771612763404
24,1716285785.5228035,0.06241053591171893
25,1716286012.3982596,0.06514391054709746
26,1716286239.273716,0.067877285182476
27,1716286466.4338078,0.06565058603882787
28,1716286693.5938997,0.06342388689517973
29,1716286920.7539916,0.0611971877515316
30,1716287146.4791977,0.06179258227348327
31,1716287372.2044036,0.06238797679543493
32,1716287597.9296098,0.0629833713173866
33,1716287823.2636635,0.06075637042522427
34,1716288048.597717,0.05852936953306193
35,1716288273.9317708,0.0563023686408996
36,1716288499.057669,0.0574959889054298
37,1716288724.168413,0.0619264729321002
38,1716288949.4186587,0.0591940060257911
39,1716289174.603118,0.0549929849803447
40,1716289400.0552592,0.0561221241950988
41,1716289625.5074008,0.0572512634098529
42,1716289850.6356473,0.0590429417788982
43,1716290075.64968,0.0545619502663612
44,1716290300.7786655,0.054389322176575605
45,1716290525.9076514,0.05421669408679
46,1716290751.000153,0.055344071239233
47,1716290976.069128,0.055385023355484
48,1716291201.3666825,0.05400777794420715
49,1716291426.6642368,0.0526305325329303
50,1716291651.7090526,0.05557759851217265
51,1716291876.753868,0.058524664491415
52,1716292101.739195,0.0565080530941486
53,1716292326.8327582,0.05672160442918535
54,1716292551.926321,0.0569351557642221
55,1716292777.019884,0.05714870709925885
56,1716293002.1134472,0.0573622584342956
57,1716293227.233894,0.058425229974091
58,1716293452.354341,0.059488201513886396
59,1716293677.4747882,0.0605511730536818
60,1716293902.595235,0.0616141445934772
