Step,Wall time,Value
0,,
1,1716457818.3309095,0.0928793102502822
2,1716457956.8667445,0.09101027995347971
3,1716458095.4025798,0.0891412496566772
4,1716458234.0014005,0.0865550450980663
5,1716458372.600221,0.0839688405394554
6,1716458511.1103072,0.0865711867809295
7,1716458649.492919,0.08710248395800585
8,1716458787.8755305,0.0876337811350822
9,1716458926.2447858,0.07895120605826375
10,1716459064.6140409,0.0702686309814453
11,1716459202.98306,0.0802980288863182
12,1716459341.2101552,0.0812024846673011
13,1716459479.4056182,0.0779280960559845
14,1716459617.7527506,0.0761783719062805
15,1716459755.9440691,0.0725525170564651
16,1716459894.0743735,0.0741509571671485
17,1716460032.227497,0.0751414224505424
18,1716460170.598236,0.0758697986602783
19,1716460309.0043085,0.0702645108103752
20,1716460447.4254758,0.0741141214966774
21,1716460585.6069148,0.0759650841355323
22,1716460723.9334545,0.0731404870748519
23,1716460862.3294291,0.0679342523217201
24,1716461000.770583,0.0744938179850578
25,1716461139.1424415,0.0737793371081352
26,1716461277.4936528,0.0739011913537979
27,1716461415.8448644,0.0740230455994606
28,1716461554.2771,0.06941050166885057
29,1716461692.7093358,0.06479795773824053
30,1716461831.1415715,0.0601854138076305
31,1716461969.573383,0.0651853829622268
32,1716462108.0658126,0.0605807304382324
33,1716462246.557717,0.0611241720616817
34,1716462384.7682323,0.0687364339828491
35,1716462523.1289978,0.06433379650115964
36,1716462661.4897633,0.0599311590194702
37,1716462799.9171486,0.05933853859702743
38,1716462938.344534,0.05874591817458467
39,1716463076.7719193,0.0581532977521419
40,1716463215.1229987,0.0569602847099304
41,1716463353.6211677,0.05758906342089175
42,1716463492.1193366,0.0582178421318531
43,1716463630.5670643,0.061322558671236
44,1716463769.1399963,0.0609106793999671
45,1716463907.5209749,0.0634426698088646
46,1716464045.901488,0.0581596866250038
47,1716464184.2765975,0.0618392638862133
48,1716464322.6722116,0.0621055718511343
49,1716464461.067826,0.0623718798160553
50,1716464599.353101,0.0541832149028778
51,1716464737.626824,0.0544903669506311
52,1716464875.9005468,0.0547975189983844
53,1716465014.1910925,0.0543768890202045
54,1716465152.5986128,0.0578178875148296
55,1716465291.00951,0.0550152920186519
56,1716465429.3480513,0.0554843209683895
57,1716465567.6885917,0.0548345036804676
58,1716465706.170452,0.05416362608472503
59,1716465844.6523128,0.053492748488982465
60,1716465983.1341732,0.0528218708932399
61,1716466121.6508722,0.0487380921840667
62,1716466260.0662856,0.0491077192127704
63,1716466398.4587564,0.0535277239978313
64,1716466536.9772866,0.0515855439007282
65,1716466675.3947916,0.0490995459258556
66,1716466813.7466173,0.0539145283401012
67,1716466952.1104298,0.0515207946300506
68,1716467090.3641138,0.0523684732615947
69,1716467228.8269246,0.0553127788007259
70,1716467367.1835032,0.055784685537219006
71,1716467505.5400815,0.0562565922737121
72,1716467643.880999,0.0515550374984741
73,1716467782.371075,0.0484759025275707
74,1716467921.0793247,0.0471116155385971
75,1716468059.8731787,0.047874769195914255
76,1716468198.6670327,0.0486379228532314
77,1716468337.3542857,0.0474663339555263
78,1716468476.0602531,0.0507404804229736
79,1716468614.667112,0.0509807057678699
80,1716468753.3442454,0.0505599528551101
81,1716468892.0213785,0.0501391999423503
82,1716469030.6788857,0.0488164909183979
83,1716469169.4695559,0.04723987914621825
84,1716469308.2602258,0.0456632673740386
85,1716469446.9751215,0.0500585213303566
86,1716469585.6934836,0.0497923642396926
87,1716469724.4334178,0.0507367067039012
88,1716469863.116573,0.0501403696835041
89,1716470001.9572432,0.0482130758464336
90,1716470140.5997262,0.04753108695149415
91,1716470279.2422092,0.0468490980565547
92,1716470417.628991,0.0461714230477809
93,1716470556.235563,0.0467888303101062
94,1716470694.8800302,0.0491200573742389
95,1716470833.4464567,0.04815306141972535
96,1716470972.0128832,0.0471860654652118
97,1716471110.6323297,0.046620562672615
98,1716471249.22645,0.0462184157222509
99,1716471387.8205702,0.0458162687718868
100,1716471526.4211109,0.045394416898489
101,1716471665.07439,0.0462354719638824
102,1716471803.6266603,0.0466028861701488
103,1716471942.1505077,0.0480007752776145
104,1716472080.7516017,0.0459835790097713
105,1716472219.296832,0.0452316962182521
106,1716472357.922752,0.0484834648668766
107,1716472496.5685358,0.047052001580595956
108,1716472635.2143197,0.0456205382943153
109,1716472773.803641,0.0451273471117019
110,1716472912.6938567,0.0457835756242275
111,1716473051.262999,0.0477572754025459
112,1716473189.7730644,0.04742044582962985
113,1716473328.2831297,0.0470836162567138
114,1716473466.9364593,0.0450129322707653
115,1716473605.5182354,0.043228980153799
116,1716473744.229361,0.0458775274455547
117,1716473882.7291858,0.0464103296399116
118,1716474021.3433318,0.0455612912774086
119,1716474159.7900424,0.0462297014892101
120,1716474298.2532897,0.0478943176567554
121,1716474436.704167,0.045216079801321
122,1716474575.2666612,0.044765286147594396
